Fecha,Año,Número de Mes,Nombre de Mes,País,Segmento,Producto,Banda de Descuento,Unidades Vendidas,Precio de Fabricación,Precio de Venta,Ventas Brutas,Descuentos,Ventas,Coste de Bienes Vendidos,Beneficio
2016-01-01,2016,1,Enero,España,Mediana Empresa,Paseo,Bajo,1834,8.0,12.0,22008.0,1100.4,20907.6,14672.0,6235.6
2016-01-02,2016,1,Enero,Francia,Pequeña Empresa,Amoeba,Medio,1918,12.0,20.0,38360.0,3836.0,34524.0,23016.0,11508.0
2016-01-02,2016,1,Enero,Francia,Pequeña Empresa,Montana,Ninguno,787,10.0,15.5,12198.5,0.0,12198.5,7870.0,4328.5
2016-01-02,2016,1,Enero,Canadá,Mediana Empresa,Amarilla,Bajo,607,180.0,250.0,151750.0,7587.5,144162.5,109260.0,34902.5
2016-01-02,2016,1,Enero,Francia,Gobierno,Montana,Medio,1206,10.0,15.5,18693.0,1869.3,16823.7,12060.0,4763.7
2016-01-02,2016,1,Enero,Reino Unido,Socios de Canal,Amoeba,Medio,692,12.0,20.0,13840.0,1384.0,12456.0,8304.0,4152.0
2016-01-03,2016,1,Enero,Estados Unidos,Grandes Empresas,Amarilla,Bajo,2149,180.0,250.0,537250.0,26862.5,510387.5,386820.0,123567.5
2016-01-03,2016,1,Enero,Canadá,Mediana Empresa,Amarilla,Bajo,2021,180.0,250.0,505250.0,25262.5,479987.5,363780.0,116207.5
2016-01-04,2016,1,Enero,Alemania,Grandes Empresas,Paseo,Ninguno,1959,8.0,12.0,23508.0,0.0,23508.0,15672.0,7836.0
2016-01-05,2016,1,Enero,Francia,Pequeña Empresa,Velo,Bajo,1618,90.0,120.0,194160.0,9708.0,184452.0,145620.0,38832.0
2016-01-05,2016,1,Enero,Alemania,Socios de Canal,Paseo,Medio,1975,8.0,12.0,23700.0,2370.0,21330.0,15800.0,5530.0
2016-01-06,2016,1,Enero,Canadá,Mediana Empresa,Carretera,Ninguno,2239,1.5,3.0,6717.0,0.0,6717.0,3358.5,3358.5
2016-01-06,2016,1,Enero,Canadá,Mediana Empresa,Velo,Ninguno,1751,90.0,120.0,210120.0,0.0,210120.0,157590.0,52530.0
2016-01-07,2016,1,Enero,Canadá,Gobierno,Amoeba,Bajo,2043,12.0,20.0,40860.0,2043.0,38817.0,24516.0,14301.0
2016-01-08,2016,1,Enero,Canadá,Mediana Empresa,Amoeba,Medio,1926,12.0,20.0,38520.0,3852.0,34668.0,23112.0,11556.0
2016-01-08,2016,1,Enero,España,Grandes Empresas,Velo,Ninguno,1721,90.0,120.0,206520.0,0.0,206520.0,154890.0,51630.0
2016-01-08,2016,1,Enero,España,Pequeña Empresa,Carretera,Ninguno,1762,1.5,3.0,5286.0,0.0,5286.0,2643.0,2643.0
2016-01-10,2016,1,Enero,Canadá,Pequeña Empresa,Amarilla,Bajo,1776,180.0,250.0,444000.0,22200.0,421800.0,319680.0,102120.0
